الشركة,الإفتتاح,الأعلى,الأدنى,الإغلاق,التغير,% التغيير,الكمية المتداولة,القيمة المتداولة (ر.س),Sector
الخضري,5.39,5.76,5.18,5.39,0,0.00,"4,609,164","25,244,810.49",السلع الرأسمالية
سماسكو,9.05,11.36,7.56,9.21,0.16,1.77,"1,409,577,724","57,464,378.40",الخدمات التجارية والمهنية
مهارة,5.96,8.45,5.73,7.21,1.25,20.97,"1,124,372,868","17,622,064.67",الخدمات التجارية والمهنية
صدر,3.52,4.23,2.74,3.35,-0.17,-4.83,"756,098,284","6,142,726.63",الخدمات التجارية والمهنية
كاتريون,109.00,147.4,92.2,117.6,8.6,7.89,"74,411,172","22,555,090.20",الخدمات التجارية والمهنية
الموارد,131.20,147,99.9,116.2,-15,-11.43,"73,594,097","6,051,553.80",الخدمات التجارية والمهنية
طباعة وتغليف,17.18,18.36,12.36,13.28,-3.9,-22.70,"50,879,406","502,778.68",الخدمات التجارية والمهنية
الخدمات الأرضية,33.55,60,26,53.8,20.25,60.36,"319,994,825","127,614,848.50",النقل
سابتكو,18.02,22.4,15.5,19.7,1.68,9.32,"262,078,878","32,381,335.38",النقل
سال,132.60,328,116.6,300,167.4,126.24,"208,161,111","68,055,740.20",النقل
سيسكو القابضة,27.50,41,23.18,33.35,5.85,21.27,"192,710,052","12,311,143.70",النقل
لومي,85.80,125,72.6,84.5,-1.3,-1.52,"95,426,498","6,798,390.20",النقل
ذيب,71.80,78.4,57.4,72,0.2,0.28,"88,190,128","14,249,371.50",النقل
